entrant_id,rank,n_games,final_rating,win_rate,main_arch,main_arch_share,tier
E215,248,52,963.5350482200062,0.3654,Alakazam / Dudunsparce,1.0,T4
E216,251,37,962.6167851903732,0.5676,Dipplin / Thwackey,0.811,T4
E217,254,49,960.8794251580362,0.5102,Crustle / Mega Kangaskhan ex,1.0,T4
E218,255,42,960.6268679777512,0.4048,Crustle / Mega Kangaskhan ex,0.857,T4
E219,257,163,958.9654626813344,0.3926,Alakazam / Dudunsparce,0.859,T4
E220,258,64,958.8694779706726,0.4844,Dipplin / Thwackey,1.0,T4
E221,259,61,957.349277390474,0.459,Alakazam / Dudunsparce,1.0,T4
E222,260,94,957.3043639344966,0.3936,Crustle / Mega Kangaskhan ex,1.0,T4
E223,262,41,955.5522784995758,0.3659,Chandelure / Sylveon,1.0,T4
E224,264,104,954.8592365324066,0.4904,Crustle / Mega Kangaskhan ex,0.587,T4
E225,265,30,953.9342182589296,0.1667,Hariyama / Mega Lucario ex,0.633,T4
E226,269,43,949.6442317962516,0.5116,Froslass / Marnie's Grimmsnarl ex,1.0,T4
E227,270,35,949.2270742469658,0.4,Froslass / Marnie's Grimmsnarl ex,1.0,T4
E228,273,52,947.0530700314296,0.4615,Crustle / Mega Kangaskhan ex,1.0,T4
E229,274,32,946.9830733403788,0.375,Lunatone / Mega Lucario ex,1.0,T4
E230,275,35,946.572917468179,0.2857,Froslass / Marnie's Grimmsnarl ex,1.0,T4
E231,276,31,946.1047800686082,0.3871,Lunatone / Mega Lucario ex,1.0,T4
E232,280,34,944.3567338008924,0.3824,Froslass / Marnie's Grimmsnarl ex,1.0,T4
E233,282,53,943.1318495977564,0.5094,Teal Mask Ogerpon ex,1.0,T4
E234,286,54,941.4904661402772,0.3889,Froslass / Marnie's Grimmsnarl ex,1.0,T4
E235,293,39,939.8959003094822,0.5385,Crustle / Mega Kangaskhan ex,1.0,T4
E236,296,65,938.3889597979476,0.4769,Budew / Dragapult ex,1.0,T4
E237,297,52,938.18026949309,0.4615,Froslass / Marnie's Grimmsnarl ex,1.0,T4
E238,299,36,937.138137349026,0.3611,Dudunsparce / Mega Froslass ex,1.0,T4
E239,301,139,936.995620718795,0.4317,Budew / Dragapult ex,0.655,T4
E240,304,34,935.0102598392226,0.4118,Dudunsparce / Mega Froslass ex,1.0,T4
E241,307,34,934.0660774053484,0.4706,Froslass / Marnie's Grimmsnarl ex,1.0,T4
E242,308,48,933.3472910849064,0.4792,Crustle / Mega Kangaskhan ex,1.0,T4
E243,309,55,932.1230458398104,0.4364,Froslass / Marnie's Grimmsnarl ex,1.0,T4
E244,311,48,931.8691406946368,0.4167,Froslass / Marnie's Grimmsnarl ex,1.0,T4
E245,324,35,926.6447343231416,0.3143,Alakazam / Dudunsparce,1.0,T4
E246,328,30,925.9699030872612,0.3333,Hydrapple ex / Meganium,1.0,T4
E247,357,30,917.1646245739656,0.2333,Froslass / Marnie's Grimmsnarl ex,1.0,T4
E248,374,106,911.745601191552,0.4906,Crustle / Mega Kangaskhan ex,0.642,T4
E249,384,45,909.1718742885296,0.5111,Froslass / Marnie's Grimmsnarl ex,1.0,T4
E250,388,92,908.6043908622092,0.4457,Froslass / Marnie's Grimmsnarl ex,1.0,T4
E251,404,45,905.2058981462476,0.4667,Froslass / Marnie's Grimmsnarl ex,1.0,T4
E252,448,35,893.1445821293736,0.3429,Froslass / Marnie's Grimmsnarl ex,0.514,T4
E253,463,33,887.5497311019949,0.5152,Crustle / Mega Kangaskhan ex,0.97,T4
E254,484,39,880.7899614698243,0.4103,Froslass / Marnie's Grimmsnarl ex,1.0,T4
E255,509,45,873.9146282113627,0.4444,Froslass / Marnie's Grimmsnarl ex,1.0,T4
E256,522,34,869.3710163555081,0.4118,Alakazam / Dudunsparce,1.0,T4
E257,562,32,851.3599825522472,0.3125,Froslass / Mega Starmie ex,1.0,T4
E258,604,47,830.6897007775336,0.3617,Dipplin / Rillaboom,0.979,T4
E259,1058,1063,636.5328420347872,0.508,Crustle / Mega Kangaskhan ex,1.0,T4
